table1,table2
334050023762827,334050023762827
334050043980751,334050053137567
334050053137567,334050053842856
334050053191202,334050053856353
334050053600709,334050063005138
334050053738314,334050063011826
334050053842856,334050063012222
334050053856353,334050063047340
334050063005138,334050063048308
334050063010341,334050063049602
334050063011826,334050063056516
334050063012222,334050063057623
334050063023655,334050063067087
334050063031286,334050063070422
334050063032514,334050063088725
334050063037141,334050063103130
334050063047340,334050063103641
334050063048308,334050063106905
334050063049602,334050063108678
334050063056516,334050063111741
334050063057623,334050063112539
334050063067087,334050063126474
334050063070422,334050063127790
334050063074165,334050063134059
334050063074595,334050063139449
334050063088725,334050063143723
334050063089768,334050063174573
334050063103130,334050063190036
334050063103641,334050063193097
334050063106905,334050063203242
334050063108678,334050063210529
334050063111741,334050063215994
334050063111788,334050063217352
334050063112539,334050063233493
334050063126474,334050063235891
334050063127790,334050063239235
334050063128889,334050063254734
334050063129674,334050063260093
334050063134059,334050063266274
334050063139368,334050063274991
334050063139449,334050063275012
334050063143723,334050063277269
334050063151779,334050063278082
334050063173124,334050063281928
334050063174573,334050063299418
334050063179926,334050063300948
334050063187133,334050063306343
334050063188287,334050063306705
334050063190036,334050063315394
334050063193097,334050063317417
334050063203242,334050063319690
334050063210529,334050063320702
334050063215989,334050063322719
334050063215994,334050063324728
334050063217352,334050063335308
334050063233493,334050063337229
334050063235891,334050063343365
334050063239235,334050063354100
334050063246069,334050063357235
334050063246796,334050063360503
334050063254734,334050063398622
334050063257805,334050063398919
334050063260093,334050063401142
334050063266274,334050063404187
334050063274991,334050063404465
334050063275012,334050063412284
334050063277269,334050063421034
334050063278082,334050063422789
334050063281928,334050063431124
334050063282535,334050063435559
334050063295917,334050063439878
334050063299418,334050063439883
334050063300948,334050063444605
334050063301389,334050063447958
334050063306343,334050063448970
334050063306705,334050063456005
334050063315394,334050063457594
334050063317417,334050063461213
334050063319690,334050063472352
334050063320702,334050063479612
334050063322719,334050063482817
334050063324728,334050063484053
334050063335308,334050063490203
334050063337229,334050063507943
334050063343365,334050063509392
334050063354100,334050063525386
334050063357235,334050063534413
334050063360503,334050063568627
334050063364859,334050063568714
334050063369075,334050063572970
334050063372588,334050063574586
334050063379932,334050063579696
334050063382831,334050063581497
334050063392880,334050063583148
334050063396485,334050063586506
334050063398622,334050063586967
334050063398919,334050063587957
334050063401142,334050063594664
334050063404187,334050063598626
334050063404465,334050063600719
334050063412284,334050063610742
334050063421034,334050063617179
334050063422789,334050063623025
334050063423218,334050063623915
334050063428598,334050063632045
334050063430215,334050063636426
334050063431124,334050063638696
334050063435559,334050063643211
334050063435828,334050063646846
334050063439878,334050063648256
